fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
Assuerio Silva,-0.43976262958880546,0.30065261029055723,0.6783816061061975,-0.46013123491311975,0.2536039511771246,-0.5312911765069216,-0.31586698122621565,2.560368620843667,-0.565062319383464,-0.6284898080148097,-0.2026568476449894,-0.4551199505747295,0.7438558163431045,0.8305819495042822,-0.43109850814729694,0.024010783548706005,0.35021973522625305
Asu Almabayev,0.2344963768507818,0.4432900867898377,-0.08345344658938618,1.1641028171665428,1.146535602047009,0.26133115874586527,0.8447185555078219,-1.122103301374704,-0.31818775306878216,-0.42575937952632126,0.038574646339552966,-0.05608951666835282,0.7438558163431045,1.2726240324237708,0.012955903235157459,0.5570089476190089,0.35021973522625305
Ateba Gautier,1.5830143897299565,0.6470579103602384,-0.7500591176980219,-0.46013123491311975,-0.7674356667340495,1.053953493998652,-0.31586698122621565,0.4560989510045979,-0.29761487254255864,-0.4870499741856317,-0.6248119621179385,-0.7013302183041961,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,-1.1980976585050387,0.35021973522625305
Augusto Mendes,0.5716258800705755,-0.636679378133286,-0.1215451992241654,-0.46013123491311975,0.16469319793205048,-1.323913511759708,-0.31586698122621565,-0.8590695926448203,-0.050740306227876716,0.2201491949602583,0.43811430825145126,0.48939357649089626,0.5473987480436266,0.830581949504282,-0.431098508147297,0.7085023599370845,0.35021973522625305
Augusto Montano,-0.43976262958880546,0.05613122200607634,-0.7500591176980219,-0.46013123491311975,-0.6010865155013301,0.6576423263722586,-0.31586698122621565,0.061548387909772434,0.052124096403240734,0.012704105344130598,-0.262964721141125,-0.1919296643811619,-0.6313436617532403,-0.7607695490058776,-0.3940939738654257,0.1071474122598451,0.35021973522625305
Augusto Sakai,-0.43976262958880546,0.5044204338609579,-0.2739122097632821,-0.46013123491311975,0.3549430892844135,0.6576423263722586,-0.31586698122621565,2.560368620843667,-0.31818775306878216,-0.5011939575685495,-0.044348679717633434,-0.2725847520856423,-0.4348865934537625,-0.4955442992541843,-0.46810304242916817,-0.1708984237629645,0.35021973522625305
Austen Lane,0.2344963768507818,0.38215973971871753,-0.15963695185894458,-0.46013123491311975,0.8769352534974294,0.6576423263722586,-0.31586698122621565,2.560368620843667,-0.4210521556998996,-0.5436259077173028,-0.07450261646570126,-0.24286971977346536,0.154484611444671,0.3885398665847933,-0.09805769961045614,-0.24202642832693907,0.35021973522625305
Austin Arnett,-0.43976262958880546,-0.08650625449320419,-0.5976921071589052,-0.46013123491311975,-0.08291846970745713,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,0.6281647511374985,0.65861267983071,0.2194982668279597,0.4320860141745549,-0.4348865934537625,0.12331461683309997,0.12396950608077113,0.7085023599370844,0.35021973522625305
Austin Bashi,-0.43976262958880546,0.03575443964903628,-0.2929580860806717,-0.46013123491311975,1.1886009046575818,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,-0.45191147648923485,-0.4870499741856317,-0.5343501518737351,-0.5739800798234376,1.13676995294206,4.013284946524601,-0.431098508147297,0.7085023599370845,0.35021973522625305
Austin Hubbard,-0.43976262958880546,-0.4532883369199254,-0.14059107554155498,-0.05407272189320419,0.20197835251869445,-1.7202246793861014,-0.31586698122621565,-0.33300217518505304,0.6590240719268338,0.9839242976378194,0.4456527924384683,0.9287515542495134,0.35094167974414886,1.7146661153432596,-0.5051075767110395,0.7085023599370844,0.35021973522625305
Austin Lingo,0.23449637685078184,-0.7385632899184865,-0.7500591176980219,-0.46013123491311975,-0.5934382786630442,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,0.48415458745393414,1.0027829421483765,-0.02927171134359957,0.6698062726719708,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,0.3861169886016674,0.35021973522625305
Austin Springer,-0.43976262958880546,-0.14763660156432437,-0.7500591176980219,-0.46013123491311975,-0.7502271338479061,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,-0.729645363593252,-0.741641675078152,-0.9414282979726504,-0.9305604675695615,-0.6313436617532403,-0.49554429925418436,-0.5421121109929106,-1.1814703327628109,0.35021973522625305
Azamat Bekoev,1.5830143897299565,1.1972310340003203,-0.035838755795912225,-0.46013123491311975,-0.19955408149131781,1.053953493998652,-0.31586698122621565,0.4560989510045979,-0.4827707972785701,-0.6850657415464809,-0.2290415422995487,-0.5421425452032479,-0.3366580593040236,-0.36293167437833773,0.5125171160404187,-1.3034040548724815,0.35021973522625305
Azamat Gashimov,-0.43976262958880546,-1.3091131959156086,0.6783816061061974,-0.46013123491311975,-0.42039692019682456,0.4594867425590619,-0.31586698122621565,-0.8590695926448203,-0.9919495903026017,-0.8335775670671177,-0.9640437505337012,-0.9114579467974477,-0.3366580593040236,-0.23031904950249107,-0.3200849053016834,-1.0498373373035073,0.35021973522625305
Azamat Murzakanov,1.5830143897299565,0.8712025162876792,-0.559600354524126,-0.46013123491311975,-0.6010865155013301,0.6576423263722585,-0.31586698122621565,0.9821663684643652,0.2681393419285874,-0.025013183676983537,-0.14988745833587072,-0.2513597290055159,-0.43488659345376246,-0.23031904950249107,0.2719876432082559,-0.3048407700197997,0.35021973522625305
Azat Maksum,0.2344963768507818,-1.0442150252740874,0.08795944026712015,-0.05407272189320419,-0.3333982261613219,-0.9276023441333149,-0.31586698122621565,-1.122103301374704,0.34014442377036963,1.2149426928921434,-0.03681019553061651,0.924506549633488,0.7438558163431045,1.4494408655915663,-0.5421121109929106,0.7085023599370844,0.35021973522625305
Azunna Anyanwu,-0.43976262958880546,-0.08650625449320415,-0.7500591176980219,-0.46013123491311975,-0.7674356667340495,-2.512847014638888,-0.31586698122621565,2.560368620843667,-0.01988098543854148,-0.0061545391664264955,-0.4212728890684809,-0.2683397474696171,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,0.7085023599370845,0.35021973522625305
